Well,Strain,Biorep,Techrep,Medium
A1,,,,RPMI
A2,,,,RPMI
A3,,,,RPMI
A4,,,,RPMI
A5,,,,RPMI
A6,,,,RPMI
A7,,,,RPMI
A8,,,,RPMI
A9,,,,RPMI
A10,,,,RPMI
A11,,,,RPMI
A12,,,,RPMI
B1,,,,RPMI
B2,H99,1,1,RPMI
B3,Gat201(B),1,1,RPMI
B4,Gat201(M),2,1,RPMI
B5,H99,3,1,RPMI
B6,Gat201(B),3,1,RPMI
B7,Gat201(M),4,1,RPMI
B8,H99,5,1,RPMI
B9,Gat201(B),5,1,RPMI
B10,Gat201(M),6,1,RPMI
B11,H99,7,1,RPMI
B12,,,,RPMI
C1,,,,RPMI
C2,H99,1,2,RPMI
C3,Gat201(B),1,2,RPMI
C4,Gat201(M),2,2,RPMI
C5,H99,3,2,RPMI
C6,Gat201(B),3,2,RPMI
C7,Gat201(M),4,2,RPMI
C8,H99,5,2,RPMI
C9,Gat201(B),5,2,RPMI
C10,Gat201(M),6,2,RPMI
C11,H99,7,2,RPMI
C12,,,,RPMI
D1,,,,RPMI
D2,H99,1,3,RPMI
D3,Gat201(B),1,3,RPMI
D4,Gat201(M),2,3,RPMI
D5,H99,3,3,RPMI
D6,Gat201(B),3,3,RPMI
D7,Gat201(M),4,3,RPMI
D8,H99,5,3,RPMI
D9,Gat201(B),5,3,RPMI
D10,Gat201(M),6,3,RPMI
D11,Gat201(M),7,1,RPMI
D12,,,,RPMI
E1,,,,RPMI
E2,Gat201(M),1,1,RPMI
E3,H99,2,1,RPMI
E4,Gat201(B),2,1,RPMI
E5,Gat201(M),3,1,RPMI
E6,H99,4,1,RPMI
E7,Gat201(B),4,1,RPMI
E8,Gat201(M),5,1,RPMI
E9,H99,6,1,RPMI
E10,Gat201(B),6,1,RPMI
E11,Gat201(M),7,2,RPMI
E12,,,,RPMI
F1,,,,RPMI
F2,Gat201(M),1,2,RPMI
F3,H99,2,2,RPMI
F4,Gat201(B),2,2,RPMI
F5,Gat201(M),3,2,RPMI
F6,H99,4,2,RPMI
F7,Gat201(B),4,2,RPMI
F8,Gat201(M),5,2,RPMI
F9,H99,6,2,RPMI
F10,Gat201(B),6,2,RPMI
F11,Gat201(B),7,1,RPMI
F12,,,,RPMI
G1,,,,RPMI
G2,Gat201(M),1,3,RPMI
G3,H99,2,3,RPMI
G4,Gat201(B),2,3,RPMI
G5,Gat201(M),3,3,RPMI
G6,H99,4,3,RPMI
G7,Gat201(B),4,3,RPMI
G8,Gat201(M),5,3,RPMI
G9,H99,6,3,RPMI
G10,Gat201(B),6,3,RPMI
G11,Gat201(B),7,2,RPMI
G12,,,,RPMI
H1,,,,RPMI
H2,,,,RPMI
H3,,,,RPMI
H4,,,,RPMI
H5,,,,RPMI
H6,,,,RPMI
H7,,,,RPMI
H8,,,,RPMI
H9,,,,RPMI
H10,,,,RPMI
H11,,,,RPMI
H12,,,,RPMI
